# Hydro quantities of SFHo-s18.80-MUONS at time t_pb= 1.0001996s
shock radius= 8710.0523 km, gain radius= 21.053746 km
# cols=25 rows=1088 format=(x,f18.4,f18.14,3e18.10,f18.10,e18.10,18f18.10)
#            radius   mass coordinate           density   internal energy       temperature           entropy   radial velocity       grav. lapse             mu_nu              mu_e              mu_n              mu_p             mu_mu           mu_numu               X_n               X_p           X_alpha           X_Light           X_Heavy               Y_e              Y_mu               U_n               U_p              m*_n              m*_p
#              [cm]           [m_sol]          [g/cm^3]        [erg/cm^3]             [MeV]             [k_b]            [cm/s]               [1]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]             [MeV]             [MeV]             [MeV]             [MeV]
        209371.4453  0.01115773475365  5.7006646333e+14  3.6489705278e+34  1.9859165735e+01      1.1633314734  4.2990879885e+04      0.7405567289    147.3538482480    251.9084719695     92.7910369125    -10.4702967182     47.4501939114    -57.1044298101      0.7825639169      0.2174360831      0.0000000000      0.0000000000      0.0000000000      0.2171021495      0.0003339335    -30.1416207468    -59.8725675144    549.0891017600    547.7958116693
        215312.5078  0.01212233989120  5.6909048765e+14  3.6390122451e+34  1.9908537912e+01      1.1673845649  4.1534273827e+04      0.7407840869    147.1709613198    251.7114079569     92.4296059123    -10.8175506340     47.5198578081    -57.0205888290      0.7826094796      0.2173905204      0.0000000000      0.0000000000      0.0000000000      0.2170509664      0.0003395539    -30.2619249036    -60.0469596306    549.5579220901    548.2646319993
        221422.1484  0.01316955749185  5.6805680907e+14  3.6285179134e+34  1.9961353685e+01      1.1717075438  3.9592300941e+04      0.7410243840    146.9769204990    251.5023893337     92.0459928290    -11.1861859149     47.5944393572    -56.9310294775      0.7826574063      0.2173425937      0.0000000000      0.0000000000      0.0000000000      0.2169970136      0.0003455801    -30.3894736980    -60.2318706525    550.0554214037    548.7621313129
        227705.1562  0.01430634109093  5.6696198701e+14  3.6174598153e+34  2.0017860017e+01      1.1763188745  3.7153828751e+04      0.7412783465    146.7709973695    251.2806570031     91.6387826570    -11.5775868858     47.6743177472    -56.8353418864      0.7827078529      0.2172921471      0.0000000000      0.0000000000      0.0000000000      0.2169401015      0.0003520456    -30.5247240816    -60.4279683195    550.5834216917    549.2901316009
        234166.4531  0.01554020983276  5.6580239030e+14  3.6058079746e+34  2.0078320952e+01      1.1812388790  3.4287774042e+04      0.7415467407    146.5523902008    251.0453660915     91.2064663003    -11.9932194997     47.7598894814    -56.7330864094      0.7827609562      0.2172390438      0.0000000000      0.0000000000      0.0000000000      0.2168799302      0.0003591137    -30.6681632239    -60.6359609210    551.1438595063    549.8505694155
        240811.0938  0.01687929065440  5.6457414712e+14  3.5935322840e+34  2.0143019517e+01      1.1864879428  3.1131781529e+04      0.7418303750    146.3202348840    250.7956613600     90.7474385676    -12.4346978177     47.8516373028    -56.6237891732      0.7828169986      0.2171830014      0.0000000000      0.0000000000      0.0000000000      0.2168162992      0.0003667022    -30.8203125892    -60.8566231789    551.7388157295    550.4455256387
        247644.2734  0.01833236452932  5.6327317003e+14  3.5806006085e+34  2.0212256107e+01      1.1920883636  2.7860705849e+04      0.7421301019    146.0736267849    250.5306164059     90.2599803109    -12.9037192193     47.9500447518    -56.5069448691      0.7828762029      0.2171237971      0.0000000000      0.0000000000      0.0000000000      0.2167489460      0.0003748511    -30.9817308127    -61.0907748488    552.3705028977    551.0772128069
        254671.3438  0.01990891776398  5.6189515009e+14  3.5669783185e+34  2.0286350031e+01      1.1980646424  2.4637552709e+04      0.7424468200    145.8115927953    250.2492099671     89.7422540046    -13.4020730764     48.0556014230    -56.3820157487      0.7829387419      0.2170612581      0.0000000000      0.0000000000      0.0000000000      0.2166774919      0.0003837662    -31.1530152747    -61.3392842128    553.0412722717    551.7479821809
        261897.8125  0.02161919296501  5.6043550482e+14  3.5526306568e+34  2.0365640734e+01      1.2044412005  2.1577491228e+04      0.7427814755    145.5330835449    249.9504088434     89.1923074811    -13.9317277266     48.1688990285    -56.2484262699      0.7830049704      0.2169950296      0.0000000000      0.0000000000      0.0000000000      0.2166016720      0.0003933576    -31.3348058283    -61.6031016523    553.7536469236    552.4603568328
        269329.3438  0.02347424320688  5.5888946042e+14  3.5375182268e+34  2.0450481809e+01      1.2112458846  1.8746726757e+04      0.7431350631    145.2369254769    249.6330053622     88.6080673473    -14.4947224471     48.2904832485    -56.1055966367      0.7830751371      0.2169248629      0.0000000000      0.0000000000      0.0000000000      0.2165208917      0.0004039712    -31.5277832239    -61.8832214409    554.5102806067    553.2169905160
        276971.7500  0.02548598644087  5.5725197486e+14  3.5215969742e+34  2.0541279693e+01      1.2185138485  1.6125320705e+04      0.7435086285    144.9217969768    249.2955399115     87.9872817140    -15.0931711299     48.4209745581    -55.9527683765      0.7831492210      0.2168507790      0.0000000000      0.0000000000      0.0000000000      0.2164341151      0.0004166639    -31.7326726435    -62.1806711472    555.3140094111    554.0207193203
        284831.0156  0.02766727116330  5.5551757897e+14  3.5048313151e+34  2.0638436855e+01      1.2262682088  1.3601610230e+04      0.7439032722    144.5863696349    248.9369237901     87.3276110096    -15.7296530548     48.5613086154    -55.7892455398      0.7832282110      0.2167717890      0.0000000000      0.0000000000      0.0000000000      0.2163414067      0.0004303824    -31.9502608164    -62.4966854705    556.1679357101    554.8746456193
        292913.2969  0.03003193864491  5.5368058873e+14  3.4871778401e+34  2.0742389200e+01      1.2345417303  1.1143975410e+04      0.7443201523    144.2292418205    248.5557460736     86.6265069367    -16.4067072257     48.7122668671    -55.6142373860      0.7833124827      0.2166875173      0.0000000000      0.0000000000      0.0000000000      0.2162421730      0.0004453443    -32.1813907614    -62.8325039340    557.0753194950    555.7820294042
        301224.9219  0.03259488920909  5.5173496055e+14  3.4685916495e+34  2.0853609848e+01      1.2433686001  8.6577329325e+03      0.7447604881    143.8488239404    248.1504938844     85.8812494724    -17.1271303808     48.8747748332    -55.4268951109      0.7834026475      0.2165973525      0.0000000000      0.0000000000      0.0000000000      0.2161357749      0.0004615776    -32.4269661977    -63.1894820535    558.0396705669    556.7463804761
        309772.3906  0.03537208518791  5.4964992976e+14  3.4492490191e+34  2.0972553077e+01      1.2530732402  6.2810855281e+03      0.7452255620    143.4434728930    247.7207361789     85.0764106168    -17.9075625783     49.0508730383    -55.2263902477      0.7834867145      0.2165132855      0.0000000000      0.0000000000      0.0000000000      0.2160339918      0.0004792936    -32.6863785384    -63.5672125682    559.0800664488    557.7867763580
        318562.3906  0.03838060358393  5.4741640358e+14  3.4302061764e+34  2.1099852119e+01      1.2637580669  2.9002245768e+03      0.7457167156    143.0117950791    247.2685557771     84.3464783201    -18.6169922871     49.2451708539    -55.0115898441      0.7835544648      0.2164455352      0.0000000000      0.0000000000      0.0000000000      0.2159467490      0.0004987862    -32.8733328821    -63.8657081316    560.1654742774    558.8721841866
        327601.8125  0.04163882452854  5.4504919496e+14  3.4101650344e+34  2.1236137043e+01      1.2751651749 -1.0976056447e+03      0.7462353631    142.5516050300    246.7874132450     83.5692071848    -19.3733109395     49.4544326463    -54.7813755687      0.7836270097      0.2163729903      0.0000000000      0.0000000000      0.0000000000      0.2158529956      0.0005199947    -33.0723925807    -64.1835944337    561.3205667521    560.0272766613
        336897.7344  0.04516651412438  5.4253968663e+14  3.3890797488e+34  2.1382255846e+01      1.2873574039 -2.1380115261e+03      0.7467830003    142.0604839636    246.2750423329     82.7410682546    -20.1802000239     49.6802715788    -54.5342867905      0.7837048379      0.2162951621      0.0000000000      0.0000000000      0.0000000000      0.2157518535      0.0005433086    -33.2844231613    -64.5222970212    562.5504773430    561.2571872522
        346457.4375  0.04898484553031  5.3987887622e+14  3.3669072496e+34  2.1539142193e+01      1.3004018181 -2.9799353609e+03      0.7473611857    141.5358503471    245.7290843514     81.8583005954    -21.0416433182     49.9244969826    -54.2687370217      0.7837885699      0.2162114301      0.0000000000      0.0000000000      0.0000000000      0.2156425152      0.0005689149    -33.5103432131    -64.8833449142    563.8606799092    562.5673898184
        356288.4062  0.05311645470682  5.3705328917e+14  3.3437744538e+34  2.1707790011e+01      1.3143962888 -3.9574310553e+03      0.7479715569    140.9745057921    245.1419795651     80.9142914261    -21.9598922561     50.1844720907    -53.9830016823      0.7838679652      0.2161320348      0.0000000000      0.0000000000      0.0000000000      0.2155338758      0.0005981591    -33.7518282650    -65.2679534626    565.2587614634    563.9654713726
        366398.3438  0.05758548078049  5.3404564768e+14  3.3198440238e+34  2.1890393570e+01      1.3295139536 -5.2822477870e+03      0.7486158444    140.3739354526    244.5062802778     79.9005296660    -22.9385250684     50.4587751578    -53.6735696674      0.7839303272      0.2160696728      0.0000000000      0.0000000000      0.0000000000      0.2154370271      0.0006326457    -34.0106543600    -65.6773373440    566.7547399408    565.4614498501
        376795.1562  0.06241765923233  5.3085183290e+14  3.2947586763e+34  2.2088209045e+01      1.3457967377 -5.8782374789e+03      0.7492958485    139.7302850370    243.8269187435     78.8166786451    -23.9866649706     50.7584023998    -53.3382313068      0.7839965818      0.2160034182      0.0000000000      0.0000000000      0.0000000000      0.2153324138      0.0006710044    -34.2868553869    -66.1143942361    568.3527643940    567.0594743032
        387486.9844  0.06764042478241  5.2746017527e+14  3.2684679547e+34  2.2302614518e+01      1.3633407545 -6.0001197474e+03      0.7500134383    139.0394338517    243.1002718492     77.6574406006    -25.1101073061     51.0863711866    -52.9744668109      0.7840679281      0.2159320719      0.0000000000      0.0000000000      0.0000000000      0.2152182786      0.0007137933    -34.5817596419    -66.5813488272    570.0605029339    568.7672128431
        398482.2031  0.07328293960865  5.2385858501e+14  3.2409153160e+34  2.2535037771e+01      1.3822450812 -5.2957087570e+03      0.7507705592    138.2966804452    242.3223452269     76.4172090945    -26.3151655965     51.4460611206    -52.5796036611      0.7841461195      0.2158538805      0.0000000000      0.0000000000      0.0000000000      0.2150922278      0.0007616528    -34.8968103458    -67.0806620401    571.8861094675    570.5928193767
        409789.4062  0.07937612874333  5.2003391985e+14  3.2120652563e+34  2.2786955438e+01      1.4026149782 -3.5064630056e+03      0.7515692346    137.4965590769    241.4879285853     75.0896447228    -27.6084346949     51.8404379678    -52.1509315406      0.7842319119      0.2157680881      0.0000000000      0.0000000000      0.0000000000      0.2149527958      0.0008152923    -35.2336847177    -67.6149972363    573.8385486464    572.5452585556
        421417.4531  0.08595243340349  5.1592692917e+14  3.1821524571e+34  2.3059830477e+01      1.4250939884 -1.8046905098e+03      0.7524115901    136.6321616407    240.5934852847     73.6407250767    -29.0273084765     52.2756357879    -51.6856878561      0.7843012277      0.2156987723      0.0000000000      0.0000000000      0.0000000000      0.2148197930      0.0008789793    -35.5919246756    -68.1843470319    575.9575230905    574.6642329997
        433375.4688  0.09304571476704  5.1151812933e+14  3.1511678660e+34  2.3358782067e+01      1.4499703342 -1.3535973129e+03      0.7532998533    135.6962610365    239.6324722930     72.0604953144    -30.5824258514     52.7608811808    -51.1753300757      0.7843544344      0.2156455656      0.0000000000      0.0000000000      0.0000000000      0.2146900707      0.0009554950    -35.9737996296    -68.7923393808    578.2570391423    576.9637490516
