# Hydro quantities of SFHo-s20.0-MUONS at time t_pb= 1.0010874s
shock radius= 3466.8489 km, gain radius= 21.561613 km
# cols=25 rows=1058 format=(x,f18.4,f18.14,3e18.10,f18.10,e18.10,18f18.10)
#            radius   mass coordinate           density   internal energy       temperature           entropy   radial velocity       grav. lapse             mu_nu              mu_e              mu_n              mu_p             mu_mu           mu_numu               X_n               X_p           X_alpha           X_Light           X_Heavy               Y_e              Y_mu               U_n               U_p              m*_n              m*_p
#              [cm]           [m_sol]          [g/cm^3]        [erg/cm^3]             [MeV]             [k_b]            [cm/s]               [1]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]             [MeV]             [MeV]             [MeV]             [MeV]
         11666.6670  0.00001081371738  8.0835722450e+14  7.8311920296e+34  2.2659791574e+01      1.0087588144 -8.4171373012e+06      0.6179752063    152.1881459324    276.9016540787    197.1713099716     73.7510919160     35.1295162599    -89.5839918865      0.7954735336      0.2045264664      0.0000000000      0.0000000000      0.0000000000      0.2042819951      0.0002444713     19.7870985453      0.5514810075    455.2722655633    453.9789754725
         35000.0010  0.00009624361522  7.9682560859e+14  8.4168729925e+34  2.7230059353e+01      1.2429486240  8.8948606316e+05      0.6181235245    176.7802592656    287.5222734367    185.8161219030     76.3673978228      5.7438837078   -104.9981304632      0.7631257416      0.2368742584      0.0000000000      0.0000000000      0.0000000000      0.2368036584      0.0000706000     17.5032455669      0.0392279314    459.8376183256    458.5443282348
         58333.3340  0.00037307732518  7.9559777529e+14  8.4065010533e+34  2.7203118886e+01      1.2443303538 -9.5671092632e+04      0.6184451309    177.8492972407    287.9343206667    184.9817583996     76.1900250644      4.7891328309   -105.2958905951      0.7618409220      0.2381590780      0.0000000000      0.0000000000      0.0000000000      0.2381005322      0.0000585458     17.1052968467     -0.3181757437    460.2148443522    458.9215542614
         92719.9922  0.00157325784038  7.9279429874e+14  8.3358533296e+34  2.7127130040e+01      1.2441792929 -1.7446884612e+05      0.6191788711    177.6636614403    287.6054412436    183.6537909245     75.0053012120      3.9380354456   -106.0037443577      0.7618802089      0.2381197911      0.0000000000      0.0000000000      0.0000000000      0.2380722141      0.0000475770     16.3623177761     -1.1800527506    461.1766985833    459.8834084925
        130188.5000  0.00382200929354  7.8857654690e+14  8.2332693886e+34  2.7173946902e+01      1.2502167006  9.9085706122e+04      0.6202782573    176.6114360485    286.7149792229    181.8601329644     73.0498798808      4.2915990193   -105.8119441551      0.7626392777      0.2373607223      0.0000000000      0.0000000000      0.0000000000      0.2373081208      0.0000526015     15.4208193395     -2.3519049605    462.7180260516    461.4247359608
        154510.9062  0.00620761589623  7.8482265033e+14  8.1763959093e+34  2.7357712159e+01      1.2629464725 -3.1589909380e+04      0.6212071549    176.7524575165    286.4185905053    180.0340378084     71.6611949104      4.1495037975   -105.5166291914      0.7619319461      0.2380680539      0.0000000000      0.0000000000      0.0000000000      0.2380153316      0.0000527224     14.6051849568     -3.2733410448    464.1054400422    462.8121499514
        170299.6172  0.00823359578518  7.8219551147e+14  8.1241670737e+34  2.7468176657e+01      1.2704102682  3.5692935668e+04      0.6218689245    176.2231348317    285.9052147871    178.8592191725     70.4704293079      4.4002376967   -105.2818422587      0.7621619639      0.2378380361      0.0000000000      0.0000000000      0.0000000000      0.2377808840      0.0000571521     14.0402302621     -3.9657984137    465.0978804700    463.8045903793
        180548.7422  0.00977321615080  7.8029677335e+14  8.0920562325e+34  2.7558988807e+01      1.2765960285  6.9999799783e+03      0.6223260133    176.0758924083    285.6467032753    177.9643001346     69.6867793585      4.4580636640   -105.1127472030      0.7620459873      0.2379540127      0.0000000000      0.0000000000      0.0000000000      0.2378950886      0.0000589241     13.6300618312     -4.4475883091    465.8130108612    464.5197207704
        187201.8828  0.01087341538293  7.7900374946e+14  8.0695530135e+34  2.7620140003e+01      1.2808320554  1.8231267231e+04      0.6226347545    175.9131804939    285.4420082247    177.3615007448     69.1259631048      4.5352776799   -104.9935500509      0.7620347538      0.2379652462      0.0000000000      0.0000000000      0.0000000000      0.2379045879      0.0000606582     13.3543097320     -4.7772666676    466.3060086498    465.0127185590
        192513.8672  0.01181577639463  7.7792976448e+14  8.0514852917e+34  2.7671966187e+01      1.2844295886  1.2477013970e+04      0.6228878890    175.8046944150    285.2846964286    176.8552932125     68.6685812897      4.5845707108   -104.8954313028      0.7619936947      0.2380063053      0.0000000000      0.0000000000      0.0000000000      0.2379443749      0.0000619304     13.1246427526     -5.0494280707    466.7154488844    465.4221587936
