# Hydro quantities of SFHo-s18.6-MUONS at time t_pb= 0.99948092s
shock radius= 8351.4848 km, gain radius= 21.339098 km
# cols=25 rows=1044 format=(x,f18.4,f18.14,3e18.10,f18.10,e18.10,18f18.10)
#            radius   mass coordinate           density   internal energy       temperature           entropy   radial velocity       grav. lapse             mu_nu              mu_e              mu_n              mu_p             mu_mu           mu_numu               X_n               X_p           X_alpha           X_Light           X_Heavy               Y_e              Y_mu               U_n               U_p              m*_n              m*_p
#              [cm]           [m_sol]          [g/cm^3]        [erg/cm^3]             [MeV]             [k_b]            [cm/s]               [1]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]             [MeV]             [MeV]             [MeV]             [MeV]
         11666.6670  0.00000861008562  6.4362925984e+14  4.8361652758e+34  2.1001802832e+01      1.1266772719 -7.4187538472e+06      0.7012860422    159.4380354118    265.3323261287    119.9950926243     15.3940919982     27.4811357175    -78.4131549993      0.7750602601      0.2249397399      0.0000000000      0.0000000000      0.0000000000      0.2247999751      0.0001397648    -18.2554745751    -43.6266472975    516.9195442981    515.6262542073
         35000.0010  0.00007743018342  6.4298225006e+14  4.8249119121e+34  2.0985647184e+01      1.1266800246  5.3755158747e+05      0.7014018401    159.3858450569    265.2438358651    119.7453485278     15.1806478105     27.5350542976    -78.3229365106      0.7750696864      0.2249303136      0.0000000000      0.0000000000      0.0000000000      0.2247905672      0.0001397463    -18.3709261241    -43.7733822268    517.1855538879    515.8922637972
         58333.3340  0.00030075892006  6.4176876556e+14  4.8245011978e+34  2.1063737058e+01      1.1332772982 -1.0184924181e+04      0.7016586916    160.1840132807    265.5168514923    119.1090458381     15.0694977173     27.0860237603    -78.2468144513      0.7738828868      0.2261171132      0.0000000000      0.0000000000      0.0000000000      0.2259778128      0.0001393004    -18.5715705045    -43.9136910865    517.6984044993    516.4051144085
         92719.9922  0.00126895334055  6.3956221926e+14  4.7864793713e+34  2.1007038490e+01      1.1332444731 -1.8609264126e+05      0.7022519236    160.0305095490    265.2266556929    118.2504213100     14.3475652569     27.2427765433    -77.9533696006      0.7738851470      0.2261148530      0.0000000000      0.0000000000      0.0000000000      0.2259758562      0.0001389968    -18.9681105748    -44.4138977157    518.6083267144    517.3150366236
        130188.5000  0.00308283645076  6.3601631119e+14  4.7351868263e+34  2.1143519241e+01      1.1444262382  1.0311623856e+05      0.7031337992    159.1548689301    264.4362273947    116.9014190483     12.9133506745     27.5956235862    -77.6857348784      0.7744031016      0.2255968984      0.0000000000      0.0000000000      0.0000000000      0.2254494636      0.0001474348    -19.5080207590    -45.1748980078    520.1784039358    518.8851138450
        154510.9062  0.00500697712376  6.3303030841e+14  4.7025164608e+34  2.1299338468e+01      1.1565590557 -3.2076691296e+04      0.7038728494    158.9450933775    264.0292469670    115.6666938163     11.8758303176     27.6550765387    -77.4290770508      0.7741521868      0.2258478132      0.0000000000      0.0000000000      0.0000000000      0.2256934974      0.0001543158    -19.9646963729    -45.7498061662    521.5062754209    520.2129853301
        170299.6172  0.00664110951896  6.3090842461e+14  4.6747893664e+34  2.1405460274e+01      1.1646032836  1.6476380481e+04      0.7043976106    158.4762127740    263.5813610378    114.8362645173     11.0244063443     27.8633740430    -77.2417742208      0.7743673379      0.2256326621      0.0000000000      0.0000000000      0.0000000000      0.2254721346      0.0001605275    -20.2841678132    -46.1934885967    522.4606948359    521.1674047451
        180548.7422  0.00788296342838  6.2939707210e+14  4.6566795150e+34  2.1485804915e+01      1.1706817748 -2.8390794040e+03      0.7047596315    158.2327579271    263.3067493014    114.2277362456     10.4470349621     27.9665275395    -77.1074638348      0.7744050329      0.2255949671      0.0000000000      0.0000000000      0.0000000000      0.2254301371      0.0001648300    -20.5132757966    -46.4996478541    523.1413490878    521.8480589970
        187201.8828  0.00877040848297  6.2837252809e+14  4.6441668708e+34  2.1540374322e+01      1.1747864330  2.3443207222e+03      0.7050039366    158.0471784303    263.1103145046    113.8174806524     10.0476346689     28.0472039699    -77.0159321045      0.7744553825      0.2255446175      0.0000000000      0.0000000000      0.0000000000      0.2253767591      0.0001678584    -20.6684312477    -46.7096814138    523.6041853848    522.3108952940
        192513.8672  0.00953056224570  6.2752424701e+14  4.6339627453e+34  2.1585910091e+01      1.1782135781  4.4964638023e+02      0.7052044414    157.9018907460    262.9517370966    113.4758905539      9.7193342941     28.1093625396    -76.9404838110      0.7744864288      0.2255135712      0.0000000000      0.0000000000      0.0000000000      0.2253431892      0.0001703819    -20.7972473077    -46.8829254896    523.9877842452    522.6944941544
